name,city,department,rental_possible_status,rental_possible_confidence,rental_positive_signals,rental_negative_signals,is_aggregator,aggregator_domain,missing_formal_fields,email_questions,contact,price_text,capacity_text,address,source_url,formal_extraction_status,formal_scrape_http_status
"ÉCOLE DE POLE DANCE À DOMONT, CHAUMONTEL ET CHAMBLY",Val-d'Oise,95,unclear,low,,,no,lestudioprive.com,adresse précise,Confirmer adresse précise; Demander explicitement si une location/privatisation de salle est possible.,hello@lestudioprive.com; 0629303656; 0842874357; 07 49 26 59 12,5€,145m²; 150m²; 180m²,,https://lestudioprive.com,scraped,200
[PDF] LOCATION DE STUDIOS À PARIS ET PROCHE BANLIEUE,Paris,75,unclear,low,,,no,cnd.fr,"adresse précise, contact, prix",Confirmer adresse précise; Confirmer contact; Confirmer prix; Demander explicitement si une location/privatisation de salle est possible.,,,7M2,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,scraped,200
Aupra Danses | Privateaser,Hauts-de-Seine,92,possible,medium,location de salle; salle à louer,,yes,privateaser.com,prix,"Confirmer prix; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",contact@privateaser.com; 933253b0bf8b494ca325099db2f790a8@o32036.ingest.sentry.io,,100 pers; 230 personnes; 500 pers; 150 pers,51 Boulevard de la Liberté,https://www.privateaser.com/lieu/2414-aupradance,scraped,200
Location salle de yoga – Espace bien-être & cours privés,Val-de-Marne,94,possible,medium,location de salle; location de salles,,yes,yogasearcher.com,"adresse précise, contact, prix, capacité","Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",,,,,https://yogasearcher.com/pages/location-salle-yoga,fetch_failed,
EVENT ARENA SOCIETY,Yvelines,78,possible,high,location de salle; location de salles,,no,event-arena-society.com,prix,"Confirmer prix; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",support@webador.fr,,170m2; 100 personnes,1 rue Charles Bourseul 78700 CONFLANS SAINTE HONORINE Facebook Instagram WhatsApp TikTok Qui som,https://www.event-arena-society.com,scraped,200
Location de salles de réunion en Val-de-Marne - Pages Jaunes,Val-de-Marne,94,possible,medium,location de salle; location de salles,,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité","Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",,,,,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/salles-de-reunion,fetch_failed,
Salle Boulogne-Billancourt Pont de Sèvres - Yoze,Hauts-de-Seine,92,unlikely,medium,,cours de yoga,no,yoze.fr,"adresse précise, capacité",Confirmer adresse précise; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,contact@yoze.fr; 0292488279; +33 6 38 18 64 54,6€,,,https://www.yoze.fr/salles/boulogne-billancourt-pont-de-sevres,scraped,200
location salle yoga paris 12 - Namasteom,Paris,75,unclear,low,,,yes,namasteom.com,,Aucun champ formel manquant détecté; Demander explicitement si une location/privatisation de salle est possible.,contact@namasteom.com; 03-8037-8510; 07 56 90 20 16,40€; 25€; 300€; 500€,12 personnes; 25 personnes; 50 m2,24 rue des Marguettes,https://www.namasteom.com/location-salle,scraped,200
"Location Yoga Lagny-sur-Marne – - Salle ""EGYPTE"" à louer (37 m²)",Seine-et-Marne,77,unclear,low,,,yes,kyaoso.com,"adresse précise, contact",Confirmer adresse précise; Confirmer contact; Demander explicitement si une location/privatisation de salle est possible.,,50 €; 80 €; 150 €,37 m²,,https://kyaoso.com/listings/salle-egypte-a-louer-37-m-lagny-sur-marne_7a5ab19f-9f19-47ab-a3e1-a55175a82c93,scraped,200
PARIS DANSE STUDIO - Studio de danse à louer à Paris,Paris,75,unclear,low,,,no,parisdansestudio.fr,"adresse précise, prix",Confirmer adresse précise; Confirmer prix; Demander explicitement si une location/privatisation de salle est possible.,parisdansestudio@gmail.com; 0744867466; 07 44 86 74 66,,160 m²,,https://parisdansestudio.fr,scraped,200
Studio Influence – École de danse à Pierrelaye,Val-d'Oise,95,unclear,low,,,no,studio-influence.com,"prix, capacité",Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,ecoleinfluence@gmail.com; 06 50 39 94 14,,,254 Boulevard du Havre - 95220 Pierrelaye & 200 Chaussée Jules César - 9250 Beauchamp NOUS CONTACTER Pré,https://studio-influence.com,scraped,200
"Salles et lieux à louer pour yoga, stages et retraites - YogMee",Val-de-Marne,94,unclear,low,,,yes,yogmee.fr,"adresse précise, prix",Confirmer adresse précise; Confirmer prix; Demander explicitement si une location/privatisation de salle est possible.,0577978450,,85 m2; 15 pers; 50 m2; 20 personnes,,https://www.yogmee.fr/salles,scraped,200
Studio de danse l'Aire - STUDIO DE DANSE,Yvelines,78,unclear,low,,,no,studio-danse-l-aire-yvelines.fr,"adresse précise, contact",Confirmer adresse précise; Confirmer contact; Demander explicitement si une location/privatisation de salle est possible.,,30€/h,135 m2; 60 personnes,,https://studio-danse-l-aire-yvelines.fr/studio-de-danse,scraped,200
[PDF] LOCATION DE STUDIOS DE DANSE PARIS ET PROCHE BANLIEUE,Hauts-de-Seine,92,unclear,low,,,no,cnd.fr,"adresse précise, prix",Confirmer adresse précise; Confirmer prix; Demander explicitement si une location/privatisation de salle est possible.,theatre@lemagasin.org; 0 477 000000; 012037 0000; 010451 0000; 010107 0000; 010796 0000,,4m2,,https://www.cnd.fr/fr/file/file/2231/inline/location%20de%20studio%20nov%2023.pdf,scraped,200
Cours de yoga à Val d'Oise,Val-d'Oise,95,unlikely,medium,,cours de yoga,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,,,,,https://www.pagesjaunes.fr/annuaire/departement/val-d-oise-95/yoga-lecons,fetch_failed,
"Salles de danse, à louer sur le 75, 92, 94, pas cher ou en troc",Val-de-Marne,94,possible,high,location de salle,,no,facebook.com,"adresse précise, prix","Confirmer adresse précise; Confirmer prix; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",0834862003; 0391788200; 0728690136; 0754293344; 0832147598,,70m2,,https://www.facebook.com/groups/3730163793874619,scraped,200
LOCATION DU STUDIO,Val-d'Oise,95,unclear,low,,,no,yoga-nogent.fr,"adresse précise, contact",Confirmer adresse précise; Confirmer contact; Demander explicitement si une location/privatisation de salle est possible.,,45 €; 55 €; 35 €; 25€,45 M2; 12 pers; 14 pers; 20 M2,,https://yoga-nogent.fr/location.html?twtheme=no,scraped,200
Accueil | Yoga78 | Yoga78 Saint-Germain-en-Laye,Yvelines,78,possible,medium,louer une salle,,no,yoga78.fr,capacité,"Confirmer capacité; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",06 60 50 60 04; 06 10 15 35 58; 06 65 18 07 16; 06 03 18 63 32; 07 43 59 87 98,35 €; 20€; 35€; 35 euros,,4 rue de la Procession 78100 ST Germain en Laye A deux pas de la place du marché Contact Cours d,https://yoga78.fr,scraped,200
Location de salle à Saint-Maur-des-Fossés (94100) - Jemepropose,Val-de-Marne,94,possible,medium,location de salle; salle à louer,,yes,jemepropose.com,"adresse précise, prix","Confirmer adresse précise; Confirmer prix; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",0489721983,,100 m2; 80 places; 100m2; 80 personnes,,https://www.jemepropose.com/annonces/location-de-salle/st-maur-des-fosses-94,scraped,200
Location salle de formation en Essonne (91) - 1001 Salles PRO,Essonne,91,unclear,low,,,yes,1001salles.com,capacité,Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,contact@1001salles.com; 0309899298; +33 1 78 12 01 60; +33 1 64 93 81 56; +33 6 58 84 21 23; +33 1 64 90 85 85,dès 85 €; dès 35 €; dès 75 €; dès 260 €,,"11 rue Maurice Grandcoing""",https://www.1001salles.com/salle-de-formation-3-essonne-d.html,scraped,200
LES MEILLEURES Yoga et Pilates à Seine-et-Marne (avec photos),Seine-et-Marne,77,unclear,low,,,no,tripadvisor.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.tripadvisor.fr/Attractions-g1816325-Activities-c40-t260-Seine_et_Marne_Ile_de_France.html,fetch_failed,
"Dojo Paris | Location de Dojo à Paris | 68 Avenue de Versailles, Paris",Paris,75,possible,high,privatisation,,no,dojoparis.fr,"prix, capacité","Confirmer prix; Confirmer capacité; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",0646549113; 0769230769; 0400000000; 0444444444; 0296296296,,,68 Avenue de Versailles,https://www.dojoparis.fr,scraped,200
Dojo de Paris in Paris France - Apple Maps,Paris,75,unclear,low,,,no,maps.apple.com,"prix, capacité",Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,+33 6 22 02 54 48; 0222198697; 0150071781; +33622025448; 0819082855,,,"25 Avenue de la Porte de Châtillon 75014 Paris France {""initialState"":{""requiredBundles"":[""/static/m",https://maps.apple.com/place?place-id=IEF88A0A421A5B6DF,scraped,200
Dojo de Paris Map - Sports venue,Hauts-de-Seine,92,unclear,low,,,no,mapcarta.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://mapcarta.com/W171544175,fetch_failed,
Bonjour Salle a louer Lagny sur Marne 77 Pour activités danse ...,Seine-et-Marne,77,possible,high,location de salle; location de salles,,no,facebook.com,"adresse précise, prix","Confirmer adresse précise; Confirmer prix; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",0834862003; 0391788200; 0728690136; 0832147598; 0857723951,,30m2; 40m2,,https://www.facebook.com/groups/257289725206307/posts/1557302315205035,scraped,200
Location de studios - Centre de Danse du Marais,Paris,75,unclear,low,,,no,centrededansedumarais.fr,,Aucun champ formel manquant détecté; Demander explicitement si une location/privatisation de salle est possible.,info@centrededansedumarais.fr; accueil@centrededansedumarais.fr; 0160813749; 0395870669; 0396058586; 0490275064; 0396068408,44€; 33€; 22€; 18€,135 m2; 135 m²,41 rue du Temple 75004 Paris Tel: +33 1 42 77 58 19 E-mail : accueil@centrededansedumarais.fr Le,https://www.centrededansedumarais.fr/location-de-studios,scraped,200
Dojo de paris | Organisez un Séminaire Résidentiel à Paris,Hauts-de-Seine,92,unclear,low,,,no,alfredmeeting.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.alfredmeeting.com/en/location-lieu/dojo-de-paris,fetch_failed,
Studio Danse en Corps: Studio de danse à Saint-Denis de La Réunion,Seine-Saint-Denis,93,unlikely,medium,,cours de danse,no,studiodanseencorps.re,"prix, capacité",Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,0692184824,,,80 rue du G\u00e9n\u00e9ral de Gaulle,https://studiodanseencorps.re,scraped,200
Location studio de yoga Paris - Yoga Village Paris,Paris,75,possible,medium,location studio,,no,yogavillage.fr,capacité,"Confirmer capacité; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",contact@yogavillageparis.com; 01 49 25 21 52,75€/heure,,39 boulevard des Capucines 75002 PARIS. La capacité des studios est de 15-22 élèves pour les cours de y,https://yogavillage.fr/location-studio-de-yoga-paris,scraped,200
Location de studio de danse - ecolededansekimkan,Paris,75,unclear,low,,,no,ecolededansekimkan.com,,Aucun champ formel manquant détecté; Demander explicitement si une location/privatisation de salle est possible.,idfpkimkan@me.com; 01 43 66 99 64; 06 31 24 37 24; 06 20 95 13 02,17 €/H; 130 €/; 25 €/H; 200 €/,140m²; 150 m²; 50M²; 90 M²,64 rue Orfila 75020 Paris Métro Gambetta Niché au coeur du XXe arrondissement de Paris,https://www.ecolededansekimkan.com/infos-pratiques/nos-studios,scraped,200
Bonjour je cherche une salle de yoga à louer sur Paris ou autour de ...,Hauts-de-Seine,92,possible,high,location de salle; location de salles,cours de yoga,no,facebook.com,"adresse précise, prix, capacité","Confirmer adresse précise; Confirmer prix; Confirmer capacité; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",0212733848; 0391788200; 0728690136; 0832147598; 0857723951,,,,https://www.facebook.com/groups/257289725206307/posts/1989315642003698,scraped,200
Dojo en Val-de-marne - Pages Jaunes,Val-de-Marne,94,unclear,low,,,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/dojo,fetch_failed,
Location de dojo | asso - Wix.com,Paris,75,unclear,low,,,no,pariswushu.wixsite.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix; Demander explicitement si une location/privatisation de salle est possible.,pariswushu@hotmail.fr; 0247605124; 0611309182; 05-3391-9791,,130 m²; 90 m²,,https://pariswushu.wixsite.com/asso/location-de-dojo,scraped,200
Dojo Paris - Location d'espace sportif dans le 16e ... - Instagram,Paris,75,unclear,low,,,no,instagram.com,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,0114529342; 0832147598; 0857723951; 0424999272; 0878715919,,,,https://www.instagram.com/dojo.paris,scraped,200
Dojo Roger Ginet | sports.gouv.fr,Val-de-Marne,94,unclear,low,,,no,sports.gouv.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.sports.gouv.fr/en/dojo-roger-ginet,scraped,200
Paris Saint-Germain Judo Team,Hauts-de-Seine,92,unclear,low,,,no,psg.fr,adresse précise,Confirmer adresse précise; Demander explicitement si une location/privatisation de salle est possible.,0980681782; 0406897111; 0127158338; 0867 11.7783; 0361 12.6843,90€,123m2,,https://www.psg.fr/en/judo,scraped,200
"Maison du Mieux-Etre, Rueil-Malmaison à l'Ouest de Paris",Hauts-de-Seine,92,unclear,low,,,no,ouest2paris.com,capacité,Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,Maisonmieuxetrerueil@gmail.com; 06 81 54 48 32; 0818030539; 0313095458; 0212707519,50 €; 75 €; à partir de 3 €; 5 €,,38 Rue Victorien Sardou 92500 Rueil-Malmaison Fitness Beauté Santé Bien-être 1 Review Ajouter des,https://www.ouest2paris.com/annonce/fitness-sante-beaute-medecine-douce-ouest-de-paris/rueil-malmaison/maison-du-mieux-etre-rueil-malmaison,scraped,200
Location de salle - Ashtanga Yoga Paris,Paris,75,possible,high,location de salle,,no,ashtangayogaparis.fr,"prix, capacité","Confirmer prix; Confirmer capacité; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",01.45.80.19.96,,,40 avenue de la République,https://www.ashtangayogaparis.fr/location-salle,scraped,200
Saint-Denis Dojo,Seine-Saint-Denis,93,unclear,low,,,no,stdenislesbourg.fr,"prix, capacité",Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,saintdenisdojo@gmail.com; mairie@stdenislesbourg.fr; 06 15 62 49 92; 04 74 24 24 64,,,"120 Rue des Ecoles à SAINT DENIS LES [...]""",https://www.stdenislesbourg.fr/657-saint-denis-dojo.htm,scraped,200
Dojo en Seine-et-marne - Pages Jaunes,Seine-et-Marne,77,unclear,low,,,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.pagesjaunes.fr/annuaire/departement/seine-et-marne-77/dojo,fetch_failed,
"Secteur Versailles /le chesnay (78) Bonjour, Je propose des salles ...",Yvelines,78,unlikely,medium,,cours de yoga,no,facebook.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,0212733848; 0391788200; 0728690136; 0754293344; 0832147598,,36m2,,https://www.facebook.com/groups/partagedecabinet/posts/7797463943607261,scraped,200
Dojo de Paris - Extérieurs - Film France | Locations,Hauts-de-Seine,92,unclear,low,,,no,locations.filmfrance.net,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://locations.filmfrance.net/node/189796,scraped,200
Dojo en Yvelines - Pages Jaunes,Yvelines,78,unclear,low,,,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.pagesjaunes.fr/annuaire/departement/yvelines-78/dojo,fetch_failed,
Location du studio 🌿 Besoin d'un espace pour vos activités ...,Val-d'Oise,95,unclear,low,,,no,instagram.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix; Demander explicitement si une location/privatisation de salle est possible.,0202259171; 0312094966; 0156389949; 0997243835; 0280960958,,10 personnes,,https://www.instagram.com/p/DN8eEbC0C2P,scraped,200
ASSOCIATION AIKIDO SHINGITAI DOJO LE CHESNAY - Yelp,Yvelines,78,unclear,low,,,yes,m.yelp.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://m.yelp.com/biz/association-aikido-shingitai-dojo-le-chesnay-le-chesnay,fetch_failed,
Dojo en Essonne - Pages Jaunes,Essonne,91,unlikely,high,,abonnement,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,,,,,https://www.pagesjaunes.fr/annuaire/departement/essonne-91/dojo,fetch_failed,
"Arts Martiaux, Boxe, MMA en Essonne - Ville-Data.com",Essonne,91,unclear,low,,,yes,ville-data.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://ville-data.com/salle-de-combat-dojo/essonne-91-91D,fetch_failed,
"Dojo de Paris Tickets [2026] - Promos, Prices, Reviews & Opening ...",Hauts-de-Seine,92,unclear,low,,,no,sg.trip.com,"prix, capacité",Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,+33140521616; 0100212000; 0104712000; 0100112000; 0103412000,,,21 Av. de la Prte de Châtillon,https://sg.trip.com/travel-guide/attraction/hauts-de-seine/dojo-de-paris-142678789,scraped,200
Dojo Club 93 à Saint-Denis - sportenfrance.fr guide pratique du sport en France,Seine-Saint-Denis,93,unclear,low,,,no,sportenfrance.fr,"contact, prix",Confirmer contact; Confirmer prix; Demander explicitement si une location/privatisation de salle est possible.,,,20 places; 00 m²,26 Avenue Romain Rolland 93200 Saint-Denis Seine-Saint-Denis,https://www.sportenfrance.fr/ile-de-france/seine-saint-denis/saint-denis/930660004-dojo-club-93,scraped,200
Location Salle Yoga Paris | Studio dès 35€ / h - Méthode Taranto,Paris,75,unclear,low,,,yes,methode-taranto.com,"adresse précise, capacité",Confirmer adresse précise; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,0223337494,dès 35€,,,https://www.methode-taranto.com/location-de-salle-paris,scraped,200
the dual life of Benjamin Lelu,Val-d'Oise,95,unclear,low,,,no,safran-group.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.safran-group.com/news/portrait-office-dojo-dual-life-benjamin-lelu-2023-09-19,fetch_failed,
Centre Ahimsa - ABC Salles,Essonne,91,unclear,low,,,yes,abcsalles.com,,Aucun champ formel manquant détecté; Demander explicitement si une location/privatisation de salle est possible.,+33178853913,Dès 50 €; 00 €; À partir de 300 €; À partir de 350 €,228 m²; 60 pers; 50 personnes; 3 m²,23 rue de Paris 91370 Verrières-le-Buisson Voir le plan Accès en transports publics Le lieu est a,https://www.abcsalles.com/lieu/le-centre-ahimsa,scraped,200
"Dojo Intercommunal - Reviews, Photos & Phone Number ...",Val-d'Oise,95,unclear,low,,,no,dojo-intercommunal.wheree.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://dojo-intercommunal.wheree.com,fetch_failed,
VITÆ Centre d'Arts Martiaux & Fitness dans les Yvelines 78,Yvelines,78,unclear,low,,,no,vitaeartsmartiaux.fr,prix,Confirmer prix; Demander explicitement si une location/privatisation de salle est possible.,contact@vitaeartsmartiaux.fr; +33675598262; 0770706656; 0589659915; 06 75 59 82 62; 06 03 01 13 10,,850m²; 850 m²; 250 m²; 250m²,1901 Cours d'essai gratuit Inscriptions toute l'année Rejoignez Nous (function () { function setHeade,https://vitaeartsmartiaux.fr,scraped,200
