name,city,department,is_aggregator,aggregator_domain,missing_formal_fields,email_questions,contact,price_text,capacity_text,address,source_url,formal_extraction_status,formal_scrape_http_status
Location - Capdanse,Seine-et-Marne,77,no,capdanse.fr,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité,capdansemail@gmail.com,,,,http://www.capdanse.fr/location.html,scraped,200
"Louer un studio de yoga à Nanterre, Île-de-France - Peerspace",Hauts-de-Seine,92,yes,peerspace.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.peerspace.com/fr/venues/fr/nanterre--%C3%AEle-de-france/yoga-studio,fetch_failed,
"ÉCOLE DE POLE DANCE À DOMONT, CHAUMONTEL ET CHAMBLY",Val-d'Oise,95,no,lestudioprive.com,adresse précise,Confirmer adresse précise,hello@lestudioprive.com; 0629303656; 0842874357; 07 49 26 59 12,5€,145m²; 150m²; 180m²,,https://lestudioprive.com,scraped,200
[PDF] LOCATION DE STUDIOS À PARIS ET PROCHE BANLIEUE,Paris,75,no,cnd.fr,"adresse précise, contact, prix",Confirmer adresse précise; Confirmer contact; Confirmer prix,,,7M2,,https://www.cnd.fr/fr/file/file/96/inline/locstudiojuin2017.pdf,scraped,200
Aupra Danses | Privateaser,Hauts-de-Seine,92,yes,privateaser.com,prix,Confirmer prix,contact@privateaser.com; 933253b0bf8b494ca325099db2f790a8@o32036.ingest.sentry.io,,100 pers; 230 personnes; 500 pers; 150 pers,51 Boulevard de la Liberté,https://www.privateaser.com/lieu/2414-aupradance,scraped,200
Location salle de yoga – Espace bien-être & cours privés,Val-de-Marne,94,yes,yogasearcher.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://yogasearcher.com/pages/location-salle-yoga,fetch_failed,
EVENT ARENA SOCIETY,Yvelines,78,no,event-arena-society.com,prix,Confirmer prix,support@webador.fr,,170m2; 100 personnes,1 rue Charles Bourseul 78700 CONFLANS SAINTE HONORINE Facebook Instagram WhatsApp TikTok Qui som,https://www.event-arena-society.com,scraped,200
Location de salles de réunion en Val-de-Marne - Pages Jaunes,Val-de-Marne,94,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/salles-de-reunion,fetch_failed,
Salle Boulogne-Billancourt Pont de Sèvres - Yoze,Hauts-de-Seine,92,no,yoze.fr,"adresse précise, capacité",Confirmer adresse précise; Confirmer capacité,contact@yoze.fr; 0292488279; +33 6 38 18 64 54,6€,,,https://www.yoze.fr/salles/boulogne-billancourt-pont-de-sevres,scraped,200
"Location Yoga Lagny-sur-Marne – - Salle ""EGYPTE"" à louer (37 m²)",Seine-et-Marne,77,yes,kyaoso.com,"adresse précise, contact",Confirmer adresse précise; Confirmer contact,,50 €; 80 €; 150 €,37 m²,,https://kyaoso.com/listings/salle-egypte-a-louer-37-m-lagny-sur-marne_7a5ab19f-9f19-47ab-a3e1-a55175a82c93,scraped,200
PARIS DANSE STUDIO - Studio de danse à louer à Paris,Paris,75,no,parisdansestudio.fr,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,parisdansestudio@gmail.com; 0744867466; 07 44 86 74 66,,160 m²,,https://parisdansestudio.fr,scraped,200
Studio Influence – École de danse à Pierrelaye,Val-d'Oise,95,no,studio-influence.com,"prix, capacité",Confirmer prix; Confirmer capacité,ecoleinfluence@gmail.com; 06 50 39 94 14,,,254 Boulevard du Havre - 95220 Pierrelaye & 200 Chaussée Jules César - 9250 Beauchamp NOUS CONTACTER Pré,https://studio-influence.com,scraped,200
"Salles et lieux à louer pour yoga, stages et retraites - YogMee",Val-de-Marne,94,yes,yogmee.fr,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,0577978450,,85 m2; 15 pers; 50 m2; 20 personnes,,https://www.yogmee.fr/salles,scraped,200
Studio de danse l'Aire - STUDIO DE DANSE,Yvelines,78,no,studio-danse-l-aire-yvelines.fr,"adresse précise, contact",Confirmer adresse précise; Confirmer contact,,30€/h,135 m2; 60 personnes,,https://studio-danse-l-aire-yvelines.fr/studio-de-danse,scraped,200
[PDF] LOCATION DE STUDIOS DE DANSE PARIS ET PROCHE BANLIEUE,Hauts-de-Seine,92,no,cnd.fr,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,theatre@lemagasin.org; 0 477 000000; 012037 0000; 010451 0000; 010107 0000; 010796 0000,,4m2,,https://www.cnd.fr/fr/file/file/2231/inline/location%20de%20studio%20nov%2023.pdf,scraped,200
Cours de yoga à Val d'Oise,Val-d'Oise,95,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/val-d-oise-95/yoga-lecons,fetch_failed,
"Salles de danse, à louer sur le 75, 92, 94, pas cher ou en troc",Val-de-Marne,94,no,facebook.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,0834862003; 0391788200; 0728690136; 0754293344; 0832147598,,70m2,,https://www.facebook.com/groups/3730163793874619,scraped,200
LOCATION DU STUDIO,Val-d'Oise,95,no,yoga-nogent.fr,"adresse précise, contact",Confirmer adresse précise; Confirmer contact,,45 €; 55 €; 35 €; 25€,45 M2; 12 pers; 14 pers; 20 M2,,https://yoga-nogent.fr/location.html?twtheme=no,scraped,200
Accueil | Yoga78 | Yoga78 Saint-Germain-en-Laye,Yvelines,78,no,yoga78.fr,capacité,Confirmer capacité,06 60 50 60 04; 06 10 15 35 58; 06 65 18 07 16; 06 03 18 63 32; 07 43 59 87 98,35 €; 20€; 35€; 35 euros,,4 rue de la Procession 78100 ST Germain en Laye A deux pas de la place du marché Contact Cours d,https://yoga78.fr,scraped,200
Location de salle à Saint-Maur-des-Fossés (94100) - Jemepropose,Val-de-Marne,94,yes,jemepropose.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,0489721983,,100 m2; 80 places; 100m2; 80 personnes,,https://www.jemepropose.com/annonces/location-de-salle/st-maur-des-fosses-94,scraped,200
Location salle de formation en Essonne (91) - 1001 Salles PRO,Essonne,91,yes,1001salles.com,capacité,Confirmer capacité,contact@1001salles.com; 0309899298; +33 1 78 12 01 60; +33 1 64 93 81 56; +33 6 58 84 21 23; +33 1 64 90 85 85,dès 85 €; dès 35 €; dès 75 €; dès 260 €,,"11 rue Maurice Grandcoing""",https://www.1001salles.com/salle-de-formation-3-essonne-d.html,scraped,200
LES MEILLEURES Yoga et Pilates à Seine-et-Marne (avec photos),Seine-et-Marne,77,no,tripadvisor.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.tripadvisor.fr/Attractions-g1816325-Activities-c40-t260-Seine_et_Marne_Ile_de_France.html,fetch_failed,
"Dojo Paris | Location de Dojo à Paris | 68 Avenue de Versailles, Paris",Paris,75,no,dojoparis.fr,"prix, capacité",Confirmer prix; Confirmer capacité,0646549113; 0769230769; 0400000000; 0444444444; 0296296296,,,68 Avenue de Versailles,https://www.dojoparis.fr,scraped,200
Dojo de Paris in Paris France - Apple Maps,Paris,75,no,maps.apple.com,"prix, capacité",Confirmer prix; Confirmer capacité,+33 6 22 02 54 48; 0222198697; 0150071781; +33622025448; 0819082855,,,"25 Avenue de la Porte de Châtillon 75014 Paris France {""initialState"":{""requiredBundles"":[""/static/m",https://maps.apple.com/place?place-id=IEF88A0A421A5B6DF,scraped,200
Dojo de Paris Map - Sports venue,Hauts-de-Seine,92,no,mapcarta.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://mapcarta.com/W171544175,fetch_failed,
Bonjour Salle a louer Lagny sur Marne 77 Pour activités danse ...,Seine-et-Marne,77,no,facebook.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,0834862003; 0391788200; 0728690136; 0832147598; 0857723951,,30m2; 40m2,,https://www.facebook.com/groups/257289725206307/posts/1557302315205035,scraped,200
Dojo de paris | Organisez un Séminaire Résidentiel à Paris,Hauts-de-Seine,92,no,alfredmeeting.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.alfredmeeting.com/en/location-lieu/dojo-de-paris,fetch_failed,
Studio Danse en Corps: Studio de danse à Saint-Denis de La Réunion,Seine-Saint-Denis,93,no,studiodanseencorps.re,"prix, capacité",Confirmer prix; Confirmer capacité,0692184824,,,80 rue du G\u00e9n\u00e9ral de Gaulle,https://studiodanseencorps.re,scraped,200
Location studio de yoga Paris - Yoga Village Paris,Paris,75,no,yogavillage.fr,capacité,Confirmer capacité,contact@yogavillageparis.com; 01 49 25 21 52,75€/heure,,39 boulevard des Capucines 75002 PARIS. La capacité des studios est de 15-22 élèves pour les cours de y,https://yogavillage.fr/location-studio-de-yoga-paris,scraped,200
Bonjour je cherche une salle de yoga à louer sur Paris ou autour de ...,Hauts-de-Seine,92,no,facebook.com,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité,0212733848; 0391788200; 0728690136; 0832147598; 0857723951,,,,https://www.facebook.com/groups/257289725206307/posts/1989315642003698,scraped,200
Dojo en Val-de-marne - Pages Jaunes,Val-de-Marne,94,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/dojo,fetch_failed,
Location de dojo | asso - Wix.com,Paris,75,no,pariswushu.wixsite.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,pariswushu@hotmail.fr; 0247605124; 0611309182; 05-3391-9791,,130 m²; 90 m²,,https://pariswushu.wixsite.com/asso/location-de-dojo,scraped,200
Dojo Paris - Location d'espace sportif dans le 16e ... - Instagram,Paris,75,no,instagram.com,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité,0114529342; 0832147598; 0857723951; 0424999272; 0878715919,,,,https://www.instagram.com/dojo.paris,scraped,200
Dojo Roger Ginet | sports.gouv.fr,Val-de-Marne,94,no,sports.gouv.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.sports.gouv.fr/en/dojo-roger-ginet,scraped,200
Paris Saint-Germain Judo Team,Hauts-de-Seine,92,no,psg.fr,adresse précise,Confirmer adresse précise,0980681782; 0406897111; 0127158338; 0867 11.7783; 0361 12.6843,90€,123m2,,https://www.psg.fr/en/judo,scraped,200
"Maison du Mieux-Etre, Rueil-Malmaison à l'Ouest de Paris",Hauts-de-Seine,92,no,ouest2paris.com,capacité,Confirmer capacité,Maisonmieuxetrerueil@gmail.com; 06 81 54 48 32; 0818030539; 0313095458; 0212707519,50 €; 75 €; à partir de 3 €; 5 €,,38 Rue Victorien Sardou 92500 Rueil-Malmaison Fitness Beauté Santé Bien-être 1 Review Ajouter des,https://www.ouest2paris.com/annonce/fitness-sante-beaute-medecine-douce-ouest-de-paris/rueil-malmaison/maison-du-mieux-etre-rueil-malmaison,scraped,200
Location de salle - Ashtanga Yoga Paris,Paris,75,no,ashtangayogaparis.fr,"prix, capacité",Confirmer prix; Confirmer capacité,01.45.80.19.96,,,40 avenue de la République,https://www.ashtangayogaparis.fr/location-salle,scraped,200
Saint-Denis Dojo,Seine-Saint-Denis,93,no,stdenislesbourg.fr,"prix, capacité",Confirmer prix; Confirmer capacité,saintdenisdojo@gmail.com; mairie@stdenislesbourg.fr; 06 15 62 49 92; 04 74 24 24 64,,,"120 Rue des Ecoles à SAINT DENIS LES [...]""",https://www.stdenislesbourg.fr/657-saint-denis-dojo.htm,scraped,200
Dojo en Seine-et-marne - Pages Jaunes,Seine-et-Marne,77,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/seine-et-marne-77/dojo,fetch_failed,
"Secteur Versailles /le chesnay (78) Bonjour, Je propose des salles ...",Yvelines,78,no,facebook.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,0212733848; 0391788200; 0728690136; 0754293344; 0832147598,,36m2,,https://www.facebook.com/groups/partagedecabinet/posts/7797463943607261,scraped,200
Dojo de Paris - Extérieurs - Film France | Locations,Hauts-de-Seine,92,no,locations.filmfrance.net,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://locations.filmfrance.net/node/189796,scraped,200
Dojo en Yvelines - Pages Jaunes,Yvelines,78,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/yvelines-78/dojo,fetch_failed,
Location du studio 🌿 Besoin d'un espace pour vos activités ...,Val-d'Oise,95,no,instagram.com,"adresse précise, prix",Confirmer adresse précise; Confirmer prix,0202259171; 0312094966; 0156389949; 0997243835; 0280960958,,10 personnes,,https://www.instagram.com/p/DN8eEbC0C2P,scraped,200
ASSOCIATION AIKIDO SHINGITAI DOJO LE CHESNAY - Yelp,Yvelines,78,yes,m.yelp.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://m.yelp.com/biz/association-aikido-shingitai-dojo-le-chesnay-le-chesnay,fetch_failed,
Dojo en Essonne - Pages Jaunes,Essonne,91,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/essonne-91/dojo,fetch_failed,
"Arts Martiaux, Boxe, MMA en Essonne - Ville-Data.com",Essonne,91,yes,ville-data.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://ville-data.com/salle-de-combat-dojo/essonne-91-91D,fetch_failed,
"Dojo de Paris Tickets [2026] - Promos, Prices, Reviews & Opening ...",Hauts-de-Seine,92,no,sg.trip.com,"prix, capacité",Confirmer prix; Confirmer capacité,+33140521616; 0100212000; 0104712000; 0100112000; 0103412000,,,21 Av. de la Prte de Châtillon,https://sg.trip.com/travel-guide/attraction/hauts-de-seine/dojo-de-paris-142678789,scraped,200
Dojo Club 93 à Saint-Denis - sportenfrance.fr guide pratique du sport en France,Seine-Saint-Denis,93,no,sportenfrance.fr,"contact, prix",Confirmer contact; Confirmer prix,,,20 places; 00 m²,26 Avenue Romain Rolland 93200 Saint-Denis Seine-Saint-Denis,https://www.sportenfrance.fr/ile-de-france/seine-saint-denis/saint-denis/930660004-dojo-club-93,scraped,200
Location Salle Yoga Paris | Studio dès 35€ / h - Méthode Taranto,Paris,75,yes,methode-taranto.com,"adresse précise, capacité",Confirmer adresse précise; Confirmer capacité,0223337494,dès 35€,,,https://www.methode-taranto.com/location-de-salle-paris,scraped,200
the dual life of Benjamin Lelu,Val-d'Oise,95,no,safran-group.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.safran-group.com/news/portrait-office-dojo-dual-life-benjamin-lelu-2023-09-19,fetch_failed,
"Dojo Intercommunal - Reviews, Photos & Phone Number ...",Val-d'Oise,95,no,dojo-intercommunal.wheree.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://dojo-intercommunal.wheree.com,fetch_failed,
VITÆ Centre d'Arts Martiaux & Fitness dans les Yvelines 78,Yvelines,78,no,vitaeartsmartiaux.fr,prix,Confirmer prix,contact@vitaeartsmartiaux.fr; +33675598262; 0770706656; 0589659915; 06 75 59 82 62; 06 03 01 13 10,,850m²; 850 m²; 250 m²; 250m²,1901 Cours d'essai gratuit Inscriptions toute l'année Rejoignez Nous (function () { function setHeade,https://vitaeartsmartiaux.fr,scraped,200
Répertoire des équipements sportifs français,Val-de-Marne,94,no,repertoire-equipements-sportifs.fr,"contact, prix",Confirmer contact; Confirmer prix,,,2 m²,7 AVENUE FRANCOIS MAURIAC 94000 Créteil,https://www.repertoire-equipements-sportifs.fr/france/ile-de-france/val-de-marne/94028/creteil/centre-andre-dassibat/dojo/e001i940280029.html,scraped,200
"Local de répétition / Location, recherche à Paris 19 (75019)",Paris,75,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.spectable.com/paris-19-75019/petites-annonces/local-de-repetition/n_2648-l_38157.php,fetch_failed,
Dojo Regional Saint Denis - Home | Facebook,Seine-Saint-Denis,93,no,facebook.com,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité,0910847845; 0834862003; 0391788200; 0728690136; 0832147598,,,,https://www.facebook.com/417793978315567,scraped,200
Location studio répétition en Hauts-de-seine - Pages Jaunes,Hauts-de-Seine,92,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/hauts-de-seine-92/location-studio-repetition,fetch_failed,
Aikido Club Charenton Val-de-Marne – 9 rue du Nouveau Bercy ...,Val-de-Marne,94,no,aikido-charenton.cravan.fr,"contact, prix, capacité",Confirmer contact; Confirmer prix; Confirmer capacité,,,,9 rue du Nouveau Bercy – 94 220 Charenton img:is([sizes=auto i],https://aikido-charenton.cravan.fr,scraped,200
Location salle de réception à Saint Denis de la Réunion - Yoga Institut,Seine-Saint-Denis,93,no,yoga-institut.fr,prix,Confirmer prix,06 93 94 21 70,,45 m²; 15 m²; 12 m²,2 rue Ruisseau des Noirs,https://yoga-institut.fr/location,scraped,200
"File:Dojo, espace sportif Maurice Baquet, Essonne, France.jpg",Essonne,91,no,commons.wikimedia.org,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité,0683376286; 0688112782; 0520732883; 0260612025,,,,"https://commons.wikimedia.org/wiki/File:Dojo,_espace_sportif_Maurice_Baquet,_Essonne,_France.jpg",scraped,200
Seibukan Dojo - Arts du Sabre Japonais,Seine-et-Marne,77,no,seibukan77.fr,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité,seibukan.dojo.croissy77@gmail.com; 0631078979,,,,https://www.seibukan77.fr,scraped,200
"Local de répétition / Location, recherche à Créteil (94000) - Spectable",Val-de-Marne,94,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.spectable.com/creteil-94000/petites-annonces/local-de-repetition/n_2648-l_17826.php,fetch_failed,
Location de studios de répétition en Seine-saint-denis,Seine-Saint-Denis,93,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/seine-saint-denis-93/location-de-studios-de-repetition,fetch_failed,
"Dojo Paris, Location d'espace sportif dans le 16e - Facebook",Paris,75,no,facebook.com,"prix, capacité",Confirmer prix; Confirmer capacité,0564724397; 0834862003; 0391788200; 0728690136; 0832147598,,,68 Avenue du Versailles,https://www.facebook.com/people/Dojo-Paris-Location-despace-sportif-dans-le-16e/61570014873764,scraped,200
Les espaces du théâtre | MC93 · Maison de la Culture de ...,Seine-Saint-Denis,93,no,mc93.com,prix,Confirmer prix,0141607272; 01 41 60 72 60; 01 41 60 72 72,,776 places; 176 places; 130 places,"9 Boulevard Lénine""",https://www.mc93.com/espaces,scraped,200
Studio de répétition en Val-de-marne - Pages Jaunes,Val-de-Marne,94,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/studio-de-repetition,fetch_failed,
le perray-st leger jjda - France Judo,Yvelines,78,no,ffjudo.com,"prix, capacité",Confirmer prix; Confirmer capacité,laurence.sablier@wanadoo.fr; 0608079002; 0844374377; +33140521616,,,"25 Avenue de la Porte Châtillon""",https://www.ffjudo.com/club-le-perray-st-leger-jj-da,scraped,200
dojo77.valdeurope - Instagram,Seine-et-Marne,77,no,instagram.com,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité,0832147598; 0857723951; 0279000159; 0636453712; 0163051917,,,,https://www.instagram.com/dojo77.valdeurope,scraped,200
"Local de répétition / Location, recherche à Ivry sur Seine (94200)",Seine-et-Marne,77,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.spectable.com/ivry-sur-seine-94200/petites-annonces/local-de-repetition/n_2648-l_17836.php,fetch_failed,
Location Espaces Professionnels - Ressource En Vous,Essonne,91,no,ressourceenvous.fr,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité,0526315789,,,,https://ressourceenvous.fr/location-espaces-professionnels,scraped,200
Studio d'enregistrement / de répétition - Seine-et-Marne (77) - EasyZic,Seine-et-Marne,77,yes,easyzic.com,"adresse précise, contact, capacité",Confirmer adresse précise; Confirmer contact; Confirmer capacité,,5€/,,,"https://www.easyzic.com/annuaire/etablissements/meaux-chelles-melun-pontault-combault-champs-sur-marne-savigny-le-temp,l77.html?id_libelle=60",scraped,200
Association DOJO VAL D OISE à 95000 CERGY,Val-d'Oise,95,yes,annuaire-entreprises.data.gouv.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://annuaire-entreprises.data.gouv.fr/entreprise/dojo-val-d-oise-482095262,fetch_failed,
Location de studios de répétition en Essonne - Pages Jaunes,Essonne,91,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/essonne-91/location-de-studios-de-repetition,fetch_failed,
Location studio répétition en Yvelines - Pages Jaunes,Yvelines,78,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.pagesjaunes.fr/annuaire/departement/yvelines-78/location-studio-repetition,fetch_failed,
Dojo Régional d'Herblay-sur-Seine - Val d'Oise Tourisme ...,Val-d'Oise,95,no,valdoise-tourisme.com,"contact, prix",Confirmer contact; Confirmer prix,,,980 m²; 200 places,1 rue Alexandre Dumas 95220 Herblay-sur-Seine https://herblaysurseine.fr/mes-loisirs/sport/les-g,https://www.valdoise-tourisme.com/fiches/dojo-regional-dherblay-sur-seine,scraped,200
"Local de répétition / Location, recherche à Massy (91300) - Spectable",Essonne,91,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité,,,,,https://www.spectable.com/massy-91300/petites-annonces/local-de-repetition/n_2648-l_17598.php,fetch_failed,
